number,tweet (actual tweet text will defer. Open txt file instead),polarity
1,b'@Evelynne24 The next Canadian that tells me to put Canada on the list wins a 6 month holiday to live with Justin Trudeau and wear all his silly outfits.\n\nSee....Part Two \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',positive
2,"b'@ElizabethMay Can you just focus on cleaning up the oceans around your constituency. SNCL is a dead horse, the culprits did their time a decade ago. You have a dead ocean in your back yard. Focus Liz, Focus. https://t.co/ST6ot7gGWx'",negative
3,b'Why are \xf0\x9f\x8f\xa0 buyers coming to Canada? We look at why Canada is such a \xf0\x9f\x94\xa5 destination for international property purchases. \xf0\x9f\x91\x89 https://t.co/aXdvmOtMSj #CREACaf\xc3\xa9 https://t.co/Uq2KERMVid',positive
4,b'Ontario to ban cellphones in classrooms next school year\nhttps://t.co/KnYr0EXly2 https://t.co/VpgFT4ZI6X',positive
5,b'Dana $DAN Given New $23.00 Price Target at Royal Bank of Canada https://t.co/1r35gdOvxZ #stocks',positive
6,b'Snow Patrol - Chasing Cars 2006 https://t.co/BxGMiiX5yh  #kbradiothp #internetradio',positive
7,b'A truly devastating loss. Our thoughts are with the families and friends of the Canadian environmental advocates and with the loved ones of all of the 157 people who lost their lives in the #EthiopianAirlinesCrash tragedy.\n\nhttps://t.co/r0JZL2vAaZ',negative
8,"b'@BillTufts @tlshields85 The only Canadians that trusted \nTru-dope were the 39% of the 66% of the population that turned out to vote in 2015, 25%-ish of Canadians. \nThey are the ones responsible for Canada\xe2\x80\x99s mess, and now \xe2\x80\x9cthey\xe2\x80\x9d are finally waking up! Too bad they were born with absolutely no foresight!'",positive
9,"b'What is Canada waiting for?? Another crash, before grounding the Max-8s!'",negative
10,"b""@shawnmicallef When the snow melts - don't get me started on the dog poop""",negative
11,"b'Installation and Repair Technician: Praxair Canada Inc. (Saskatoon SK): ""welding and brazing skills. Ability to troubleshoot electronic and computer operated controls and instrumentation. Must be able to manage contractors and coordin.. #welding eluta https://t.co/8ar5oPU6wW'",positive
12,b'BBC News - Opioid crisis: US schools prepare for student overdoses https://t.co/AwsUpYS1CE',negative
13,b'[paradigms] Paradigm\xc2\xae | High Performance Audio - Crafted in Canada https://t.co/337WXN0KQL',positive
14,b'Royal Bank of Canada Raises Stitch Fix $SFIX Price Target to $52.00 https://t.co/xyfAFr1eQL #stocks',positive
